"Street","Description","Barangay","City","Province","Classification","Zonal Value"
"A C CORTES AVE","FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","42,530.00"
"A C CORTES AVE","FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","42,000.00"
"A C CORTES AVE","FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","36,750.00"
"A C CORTES AVE","INTERIOR W/CAR ACCESS","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"P. BURGOS STREET","F. MENDOZA ST. TO G OUANO ST.","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","21,540.00"
"P. BURGOS STREET","F. MENDOZA ST. TO G OUANO ST.","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,780.00"
"P. BURGOS STREET","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,800.00"
"F. MENDOZA ST.","P. BURGOS ST. TO BRIONES ST.","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","21,200.00"
"F. MENDOZA ST.","P. BURGOS ST. TO BRIONES ST.","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,150.00"
"F. MENDOZA ST.","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,400.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","42,530.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","26,250.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","36,750.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,540.00"
"S. OUANO ST (FORMERLY G.  OUANO STREET)","BURGOS-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","26,750.00"
"S. OUANO ST (FORMERLY G.  OUANO STREET)","BURGOS-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","25,200.00"
"S. OUANO ST (FORMERLY G.  OUANO STREET)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,280.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","63,000.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","23,100.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,600.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,900.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,500.00"
"PLARIDEL STREET","A.C. CORTES AVE. TO BUTUANON RIVER","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","42,530.00"
"PLARIDEL STREET","A.C. CORTES AVE. TO BUTUANON RIVER","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","36,750.00"
"PLARIDEL STREET","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,600.00"
"M. FERNAN ST. (U.N. AVENUE)","PACIFIC MALL TO MARCELO FERNAN BRIDGE","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","63,000.00"
"M. FERNAN ST. (U.N. AVENUE)","PACIFIC MALL TO MARCELO FERNAN BRIDGE","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","47,250.00"
"M. FERNAN ST. (U.N. AVENUE)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","14,400.00"
"SANCHEZ STREET","S.B. CABAHUG ST.-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","52,140.00"
"SANCHEZ STREET","S.B. CABAHUG ST.-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","21,700.00"
"SANCHEZ STREET","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,540.00"
"SITIO LIONG","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","21,540.00"
"SITIO LIONG","","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,660.00"
"SITIO LIONG","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,140.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","125,000.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","25,840.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","24,150.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,650.00"
"ALL OTHERS STREETS","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","15,420.00"
"ALL OTHERS STREETS","","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","10,400.00"
"ALL OTHERS STREETS","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","6,400.00"
"SILVER SEA SUBDIVISION","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,090.00"
"ALL OTHER SUBDIVISIONS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,550.00"
"AMAIA STEPS","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL CONDOMINIUM","114,450.00"
"AMAIA STEPS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","108,900.00"
"AMAIA STEPS","","ALANG-ALANG","MANDAUE","CEBU","PARKING SLOT","42,780.00"
"CASA MIRA TOWERS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","125,000.00"
"ALL OTHER CONDOMINIUMS","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL CONDOMINIUM","116,050.00"
"ALL OTHER CONDOMINIUMS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","94,670.00"
"ALL OTHER CONDOMINIUMS","","ALANG-ALANG","MANDAUE","CEBU","PARKING SLOT","33,340.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","66,650.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","57,750.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","43,200.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","INDUSTRIAL","57,750.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","25,730.00"
"BAKILID BARRIO ROAD","","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","19,400.00"
"BAKILID BARRIO ROAD","","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"BAKILID BARRIO ROAD","","BAKILID","MANDAUE","CEBU","INDUSTRIAL","17,050.00"
"BAKILID BARRIO ROAD","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","8,400.00"
"ALL OTHER STREETS","ALONG THE ROAD","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","18,900.00"
"ALL OTHER STREETS","ALONG THE ROAD","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"ALL OTHER STREETS","ALONG THE ROAD","BAKILID","MANDAUE","CEBU","INDUSTRIAL","16,800.00"
"ALL OTHER STREETS","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","8,400.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","FROM BOUNDARY POINT OF BRGY. TIPOLO TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","52,600.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","FROM BOUNDARY POINT OF BRGY. TIPOLO TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","42,000.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","FROM BOUNDARY POINT OF BRGY. TIPOLO TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","INDUSTRIAL","45,680.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","22,260.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","28,150.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","24,360.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","23,630.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","INDUSTRIAL","24,360.00"
"L. JAYME ST.","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,070.00"
"L. JAYME ST.","FROM V. ALBAÑO ST. TO BOUNDARY OF CASUNTINGAN","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","23,420.00"
"L. JAYME ST.","FROM V. ALBAÑO ST. TO BOUNDARY OF CASUNTINGAN","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","18,900.00"
"L. JAYME ST.","FROM V. ALBAÑO ST. TO BOUNDARY OF CASUNTINGAN","BAKILID","MANDAUE","CEBU","INDUSTRIAL","20,900.00"
"L. JAYME ST.","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,760.00"
"V. ALBAÑO ST.","FROM A.S. FORTUNA ST., TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","24,120.00"
"V. ALBAÑO ST.","FROM A.S. FORTUNA ST., TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","21,000.00"
